,filtro,nome_arquivo,ground_truth,qtd_encontrada,margem_erro
0,gauss,../dataset/BCCD/JPEGImages/BloodImage_00000.jpg,19,19,0.0
1,gauss,../dataset/BCCD/JPEGImages/BloodImage_00001.jpg,18,16,-0.1111111111111111
2,gauss,../dataset/BCCD/JPEGImages/BloodImage_00002.jpg,15,11,-0.26666666666666666
3,gauss,../dataset/BCCD/JPEGImages/BloodImage_00003.jpg,15,19,0.26666666666666666
4,gauss,../dataset/BCCD/JPEGImages/BloodImage_00004.jpg,11,19,0.7272727272727273
5,gauss,../dataset/BCCD/JPEGImages/BloodImage_00005.jpg,18,21,0.16666666666666666
6,gauss,../dataset/BCCD/JPEGImages/BloodImage_00006.jpg,14,12,-0.14285714285714285
7,gauss,../dataset/BCCD/JPEGImages/BloodImage_00007.jpg,17,12,-0.29411764705882354
8,gauss,../dataset/BCCD/JPEGImages/BloodImage_00008.jpg,19,18,-0.05263157894736842
9,gauss,../dataset/BCCD/JPEGImages/BloodImage_00009.jpg,16,19,0.1875
10,gauss,../dataset/BCCD/JPEGImages/BloodImage_00010.jpg,16,20,0.25
11,gauss,../dataset/BCCD/JPEGImages/BloodImage_00011.jpg,17,16,-0.058823529411764705
12,gauss,../dataset/BCCD/JPEGImages/BloodImage_00012.jpg,16,14,-0.125
13,gauss,../dataset/BCCD/JPEGImages/BloodImage_00013.jpg,14,15,0.07142857142857142
14,gauss,../dataset/BCCD/JPEGImages/BloodImage_00014.jpg,16,17,0.0625
15,gauss,../dataset/BCCD/JPEGImages/BloodImage_00015.jpg,14,17,0.21428571428571427
16,gauss,../dataset/BCCD/JPEGImages/BloodImage_00016.jpg,11,12,0.09090909090909091
17,gauss,../dataset/BCCD/JPEGImages/BloodImage_00017.jpg,16,14,-0.125
18,gauss,../dataset/BCCD/JPEGImages/BloodImage_00018.jpg,21,17,-0.19047619047619047
19,gauss,../dataset/BCCD/JPEGImages/BloodImage_00019.jpg,16,11,-0.3125
20,gauss,../dataset/BCCD/JPEGImages/BloodImage_00020.jpg,19,10,-0.47368421052631576
21,gauss,../dataset/BCCD/JPEGImages/BloodImage_00021.jpg,16,10,-0.375
22,gauss,../dataset/BCCD/JPEGImages/BloodImage_00022.jpg,12,17,0.4166666666666667
23,gauss,../dataset/BCCD/JPEGImages/BloodImage_00023.jpg,16,11,-0.3125
24,gauss,../dataset/BCCD/JPEGImages/BloodImage_00024.jpg,15,11,-0.26666666666666666
25,gauss,../dataset/BCCD/JPEGImages/BloodImage_00026.jpg,16,17,0.0625
26,gauss,../dataset/BCCD/JPEGImages/BloodImage_00028.jpg,21,18,-0.14285714285714285
27,gauss,../dataset/BCCD/JPEGImages/BloodImage_00029.jpg,22,12,-0.45454545454545453
28,gauss,../dataset/BCCD/JPEGImages/BloodImage_00030.jpg,21,13,-0.38095238095238093
29,gauss,../dataset/BCCD/JPEGImages/BloodImage_00031.jpg,18,15,-0.16666666666666666
30,gauss,../dataset/BCCD/JPEGImages/BloodImage_00032.jpg,23,11,-0.5217391304347826
31,gauss,../dataset/BCCD/JPEGImages/BloodImage_00033.jpg,18,6,-0.6666666666666666
32,gauss,../dataset/BCCD/JPEGImages/BloodImage_00034.jpg,15,13,-0.13333333333333333
33,gauss,../dataset/BCCD/JPEGImages/BloodImage_00035.jpg,19,13,-0.3157894736842105
34,gauss,../dataset/BCCD/JPEGImages/BloodImage_00036.jpg,18,12,-0.3333333333333333
35,gauss,../dataset/BCCD/JPEGImages/BloodImage_00037.jpg,27,14,-0.48148148148148145
36,gauss,../dataset/BCCD/JPEGImages/BloodImage_00038.jpg,25,12,-0.52
37,gauss,../dataset/BCCD/JPEGImages/BloodImage_00039.jpg,16,13,-0.1875
38,gauss,../dataset/BCCD/JPEGImages/BloodImage_00040.jpg,14,17,0.21428571428571427
39,gauss,../dataset/BCCD/JPEGImages/BloodImage_00041.jpg,17,14,-0.17647058823529413
40,gauss,../dataset/BCCD/JPEGImages/BloodImage_00042.jpg,13,8,-0.38461538461538464
